countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burkina Faso,1043.97460099993,577.80028263149,686.917324077009,1025.51428874664,1061.4358850866,1049.33801118851,835.753271409725,1150.2586613329,1399.09093598314,1348.68447995267,1255.76123757561,922.583039765033,1064.23061831438,1167.6893952223,1013.39169700004,1042.19894199997,1509.74272286512,1535.79627208971,2180.38686547131,2010.58828666236,1962.27305894748,2168.01525104096
Burma,175028.443289865,291576.255697913,401133.230231245,445907.91294967,480046.661258368,595280.753912971,594472.542745224,627685.059216517,586873.657845237,556698.402212321,587950.911917771,606009.031093543,613127.585983172,636123.621471789,745177.461499656,828197.396456904,895634.958975349,882231.677667919,844122.868694244,847457.120269531,832460.909405977,802283.746081717
Burundi,1054.73722575251,1242.81570226396,1352.36848177661,1068.24405077775,951.069547785773,1002.202829683,962.789108196676,1209.66795748635,1154.01376126064,1235.68141458854,1512.06004753981,1383.87455964755,1475.86698954919,1489.81060769742,1505.03717376243,1445.31362711317,1509.74272286512,1944.04591403761,1573.22116265117,2189.0984616464,2163.9428957793,2163.9428957793
Cabo Verde,86.100998020613,65.4113527507348,64.3984991322196,53.4122025388875,63.4046365190515,63.2970208220843,73.2556930149645,72.9972043310726,62.3791222303049,72.0814158509984,41.1724995926429,256.273066601398,712.833716040766,835.501894857336,903.022304257458,835.725566698091,808.442877405191,729.017217764105,854.865334920471,779.807606509231,675.688364637574,675.688364637574
Cambodia,505.843363371101,337.958655878796,321.992495661098,456.140209682099,320.19341442121,622.420704750495,680.231435138956,677.831183074245,644.584263046484,466.469734007175,425.106058294038,679.636172626908,5344.24488800704,10310.8986855707,18715.6389347937,20109.5235478542,26038.6788453891,27316.7611610995,46190.8714051584,39970.3072334003,41266.0470693657,41219.3003473627
Cameroon,231500.90711828,213054.079872376,193733.220416354,190780.31722607,192577.318332492,228718.470319893,239011.648010815,230221.044072656,231130.913878422,217874.82067083,200498.181209528,191740.566102261,197653.300820907,187375.863315344,233605.184755358,293528.308693709,281680.236440705,247089.671378302,268460.998026157,301192.92033498,296680.575591027,281201.490179897
Canada,18716530.9956348,18834496.8217154,19181136.7292319,19087898.192185,19504911.3488736,19839696.0006329,20190010.0824514,20562494.4270829,19926609.6218238,19182937.5880154,19232327.2234166,19691281.551134,20133230.0420251,21034320.4274218,21900349.7316309,22065613.0462076,22269165.2198626,23949452.1004497,24908646.1625793,24750408.2504426,23883948.0311488,24694151.7040303
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4805512627757,87.4820661316925,144.078427233787,159.719630248879,175.86409490567,194.37610489574
Central African Republic,893.297854463859,893.955154260042,880.112821473667,886.642562145532,1310.3624880604,1403.0839615562,1454.64876129715,1418.23139843227,1413.92677055358,1390.14159141211,1380.30804884335,1499.70998575138,1499.96277713367,1383.10795606504,1689.65506707729,1655.71982861128,1650.0026919571,1461.92252735628,1440.78427233787,1409.29085513717,1388.40074925529,1388.40074925529
Chad,0.0,0.0,0.0,86672.416270392,411043.851867977,424507.208592091,379475.736712905,346518.492820039,306411.515234074,287088.80032685,294416.289829998,276258.863010876,251851.8381701,240391.124212529,290853.725989746,295659.849030122,274870.225507088,307566.905610266,316212.9899744,307761.89704568,279245.902323971,211474.8538555
Chile,293562.516665173,329731.180262546,364532.124990859,345640.45716557,340162.675877785,399845.380858887,416724.394282361,352869.838462764,374798.138431885,404681.855780367,356980.952224385,363770.847102005,338671.740070012,376985.802062822,410722.016392722,433850.996642737,436518.560439342,440004.492560764,472926.909049159,463181.619347747,439550.1404104,450076.513245378
